creditCardAccountId,customerId,organizationId,organizationName,billId,dueDate,billTotalAmount,billTotalAmountCurrency,billMinimumAmount,billMinimumAmountCurrency,isInstalment,financeCharges,payments
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,fdf99beb-f235-43f2-a410-d8d279dcfd0f,2021-08-10,98390.62000000001,BRL,98390.72000000002,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,aed1fc8a-642f-49a0-9be3-fc7e6c83c99c,2021-12-10,99244.98999999999,BRL,99245.09,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,39f4728c-cc2e-4cf7-9ee9-86a82e7160bd,2021-04-10,69798.46999999999,BRL,69798.56999999999,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,9097469e-403a-4085-9ead-f785d0810db1,2021-03-10,84666.68999999999,BRL,84666.79,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,98cba191-5664-4a66-96fb-b5d1291a3126,2021-02-10,80411.79,BRL,80411.89,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,68a44714-33c9-47a1-b467-8fc728cfe3b8,2021-10-10,70272.08,BRL,70272.18000000001,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,1bda9f4b-efc8-4eed-a17b-0de3ede0a863,2021-06-10,77513.15000000002,BRL,77513.25000000003,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,20290c9c-9935-4620-b748-24302eae6eee,2021-07-10,114113.28,BRL,114113.38,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,30f78cdf-e87a-4183-9f77-f01c8d4ed55a,2021-11-10,47743.049999999996,BRL,47743.149999999994,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,74a5e2e2-25df-4225-801e-a3869a16429d,2021-09-10,78020.18,BRL,78020.28,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,b784f387-a288-4b4d-8328-4d2b30cdbd45,2021-05-10,100284.70999999998,BRL,100284.80999999998,BRL,false,,
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,cc0330ee-7756-47ca-b803-f70dda26efad,2021-01-10,284.95,BRL,285.05,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,eee4f5b7-0d3b-4371-badc-91456fb91a9b,2021-04-10,141467.88999999998,BRL,141467.99,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,74228684-7b9a-4cf1-b959-40c380868cca,2021-10-10,109609.44999999994,BRL,109609.54999999994,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,1a0d52ef-9861-452b-b949-ed636fb3202a,2021-07-10,132975.15999999995,BRL,132975.25999999995,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,90a43f79-5049-427a-aa6f-ef47a4ede0fa,2021-08-10,129708.59,BRL,129708.69,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,188d71f3-ae11-4904-9d87-95a386ea01ff,2021-12-10,126709.73999999995,BRL,126709.83999999995,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,0a43fb4b-be9d-4d82-994b-54a44d5e232e,2021-02-10,103020.46000000002,BRL,103020.56000000003,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,778974bc-bfc3-475d-903d-65e26bb057c1,2021-11-10,107655.39000000004,BRL,107655.49000000005,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,0449e5b6-4362-4ad7-875c-ca02fa49f8a8,2021-06-10,73631.40999999999,BRL,73631.51,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,a7b26309-0dad-42d9-aac7-e3574fff74c2,2021-03-10,96119.51999999999,BRL,96119.62,BRL,false,,
f6558212-5325-4f06-9575-d9d178cffe16,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,1cb0c798-f95f-4ca3-abda-64ce33dd7d52,2021-05-10,149955,BRL,149955.1,BRL,false,,
