creditCardAccountId,customerId,organizationId,organizationName,transactionId,identificationNumber,transactionName,creditDebitType,transactionType,paymentType,feeType,chargeIdentificator,chargeNumber,brazilianAmount,amount,currency,transactionDate,billPostDate,payeeMCC,billId
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,193a5bb2-9e69-4266-abd0-f20ab4540e32,3876,Decoração,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,836.55,836.55,BRL,2021-07-30,2021-08-10,,fdf99beb-f235-43f2-a410-d8d279dcfd0f
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,31d18db9-bb2b-42f5-afe0-b9a2499e84e3,3876,Telefone,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,238.29,238.29,BRL,2021-11-02,2021-12-10,,aed1fc8a-642f-49a0-9be3-fc7e6c83c99c
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,d5a68784-c8ad-4f1a-834b-945509f11499,3876,Telefone,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,216.94,216.94,BRL,2021-07-06,2021-08-10,,fdf99beb-f235-43f2-a410-d8d279dcfd0f
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,185b622e-faab-48b5-9e45-a3e54ba3bf38,3876,Consertos,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,560.61,560.61,BRL,2021-03-02,2021-04-10,,39f4728c-cc2e-4cf7-9ee9-86a82e7160bd
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,5d57f6bf-10c0-48c7-9ac5-11733933011f,3876,Taxi,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,27.94,27.94,BRL,2021-02-03,2021-03-10,,9097469e-403a-4085-9ead-f785d0810db1
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,cb7f6648-55b4-48c2-abb9-8c8bde190323,3876,Saúde,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,4075.55,4075.55,BRL,2021-01-26,2021-02-10,,98cba191-5664-4a66-96fb-b5d1291a3126
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,4bd4d289-cc7a-4f9d-84b9-bdf561f7a1cc,3876,Decoração,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,135.76,135.76,BRL,2021-09-29,2021-10-10,,68a44714-33c9-47a1-b467-8fc728cfe3b8
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,ffedf369-405a-4f95-8eca-c5a8ea3c44f5,3876,Saque em Dinheiro,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,400.29,400.29,BRL,2021-05-30,2021-06-10,,1bda9f4b-efc8-4eed-a17b-0de3ede0a863
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,d255d5b6-698f-4439-a951-d03a617aeea3,3876,PetShop,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,74.53,74.53,BRL,2021-03-06,2021-04-10,,39f4728c-cc2e-4cf7-9ee9-86a82e7160bd
e1711229-cf83-483b-8cc1-0c8d31c81f80,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,5494c452-84f6-4f24-81db-1a2763cbbc10,3876,Combustível,DEBITO,PAGAMENTO,A_VISTA,ANUIDADE,,,415.81,415.81,BRL,2021-05-09,2021-06-10,,1bda9f4b-efc8-4eed-a17b-0de3ede0a863
