accountId,customerId,organizationId,organizationName,overdraftContractedLimit,overdraftContractedLimitCurrency,overdraftUsedLimit,overdraftUsedLimitCurrency,unarrangedOverdraftAmount,unarrangedOverdraftAmountCurrency
a68a576f-4f6e-4eed-b3d4-85a3f5e20351,362.529.240-03,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,0,BRL,0,BRL,0,BRL
32000225-2e91-4ac8-b303-2ba24233f04d,793.879.991-03,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,0,BRL,0,BRL,0,BRL
29c000ad-9113-4695-b6c9-80b67aff1c21,927.518.283-33,69665991-da55-4aac-a1f2-32d23daba8fe,Instituição Financeira 03,0,BRL,0,BRL,0,BRL
e682b22a-0c51-4a6d-b595-bc5246f486a6,181.742.477-09,f4851ca0-7163-4d71-97a7-df1e999c047f,Instituição Financeira 07,0,BRL,0,BRL,0,BRL
001ed041-3edd-4e6c-8af0-dac532cfc304,233.845.513-06,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,0,BRL,0,BRL,0,BRL
a9e9b3e0-03d1-469d-bc58-6720779aa2f9,199.647.034-21,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,0,BRL,0,BRL,0,BRL
ac59676e-91ec-44ad-beec-3401117a30be,506.244.470-74,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,0,BRL,0,BRL,0,BRL
81a5cb47-75d1-4d4e-8068-d95749d46be9,759.458.206-07,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,0,BRL,0,BRL,0,BRL
4875e32d-549d-4031-b656-2304c367fe04,781.636.757-89,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,0,BRL,0,BRL,0,BRL
c33409e7-ce46-4085-ba9c-c677d6a5c99e,205.754.599-73,69665991-da55-4aac-a1f2-32d23daba8fe,Instituição Financeira 03,0,BRL,0,BRL,0,BRL
6b4d532d-fad4-4ae6-8884-82d8b541e00b,873.074.506-08,3506654e-b794-4818-b2b1-12f2efb03d39,Instituição Financeira 08,0,BRL,0,BRL,0,BRL
55c29fb0-66e3-48f6-aaf3-4f9d0114e95b,858.966.616-86,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,0,BRL,0,BRL,0,BRL
74486ee8-d036-41a2-9d9a-8b73cf2667e1,920.660.250-28,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,0,BRL,0,BRL,0,BRL
e7f7e0ed-6a41-489a-89c5-2287398ffb28,409.519.456-29,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,0,BRL,0,BRL,0,BRL
416d9214-16da-4067-907d-89d59a7e13d0,058.052.168-72,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,0,BRL,0,BRL,0,BRL
a4935b84-a13e-4332-b14e-329eb8a54530,863.884.269-14,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,0,BRL,0,BRL,0,BRL
587b3e1f-60be-4c0c-a140-ed50d9f2a105,833.684.540-99,f4851ca0-7163-4d71-97a7-df1e999c047f,Instituição Financeira 07,0,BRL,0,BRL,0,BRL
ba07f992-d591-41d3-b20a-4ca2ed9fd616,020.365.809-11,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,0,BRL,0,BRL,0,BRL
9b62498a-0caf-4176-908a-98d1ac151893,242.515.499-46,3fda1ef5-4b72-4557-bcbf-296780ba2c1f,Instituição Financeira 01,0,BRL,0,BRL,0,BRL
6d96ac9d-8ea4-4d4b-85a1-11971b862358,853.431.701-97,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,0,BRL,0,BRL,0,BRL
6111fd05-4809-454e-8661-c0c1b0ab2dfe,281.518.068-01,3506654e-b794-4818-b2b1-12f2efb03d39,Instituição Financeira 08,0,BRL,0,BRL,0,BRL
a4232d1f-c84a-405f-875e-6b8c38a75dbc,661.327.094-28,f4851ca0-7163-4d71-97a7-df1e999c047f,Instituição Financeira 07,0,BRL,0,BRL,0,BRL
98704e34-f9fc-44a5-b067-9122755132a9,603.884.694-94,e7fc1280-4dd3-4977-bc24-c08ffea8baf5,Instituição Financeira 06,0,BRL,0,BRL,0,BRL
71d55cfd-0367-4ffa-b649-fe881175d48c,626.944.009-98,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,0,BRL,0,BRL,0,BRL
53821572-b145-421d-b211-98af389b3cc7,817.684.428-53,d3d2b0d5-903a-4f9f-b793-c139490d5ca7,Instituição Financeira 09,0,BRL,0,BRL,0,BRL
47782718-45e8-41e4-b13d-7cc16698d6eb,827.813.256-54,f4851ca0-7163-4d71-97a7-df1e999c047f,Instituição Financeira 07,0,BRL,0,BRL,0,BRL
9c716e46-954e-44c2-9a7e-961d91161295,876.896.984-78,69665991-da55-4aac-a1f2-32d23daba8fe,Instituição Financeira 03,0,BRL,0,BRL,0,BRL
b21f40b7-48f9-4c69-b998-92dac9db4c36,571.596.480-01,a81729b5-ec71-4552-b4b1-26931c130154,Instituição Financeira 04,0,BRL,0,BRL,0,BRL
f40c3cf5-7799-489b-a148-63df6c6b77df,312.738.890-33,63d929c5-2a09-479e-806c-8cd073a029ab,Instituição Financeira 05,0,BRL,0,BRL,0,BRL
2e6e4cb6-328c-4ee8-bf6c-20e20cf66811,485.718.482-43,459b64e6-be78-4777-8b0b-f3b14e61ef31,Instituição Financeira 02,0,BRL,0,BRL,0,BRL
